ITEM;DESTINATARIO_DOACAO;DATA_ENTREGA;CIDADE_DESTINATARIO;PRODUTO;QUANTIDADE;UNIDADE_MEDIDA;VALOR_UNITARIO;VALOR_TOTAL
1;SECRETARIA GERAL;2020-05-17;BELO HORIZONTE;MASCARA DE PROTECAO;500;UN;4,39;2195
2;CISRU-CONSÓRCIOINTERMUNICIPALDAREDE;2020-05-22;BARBACENA;ALCOOL EM GEL 5L;120;LT;15,98;1917,6
3;CISRUN-CONSÓRCIOINTERMUNICIPALDESAÚDE;2020-05-22;MONTES CLAROS;ALCOOL EM GEL 5L;120;LT;15,98;1917,6
4;PREFEITURADECAMPOBELO;2020-05-22;CAMPO BELO;ALCOOL EM GEL 5L;120;LT;15,98;1917,6
5;PREFEITURADECARATINGA;2020-05-22;CARATINGA;ALCOOL EM GEL 5L;120;LT;15,98;1917,6
6;PREFEITURADECARMODOPARANAIBA;2020-05-22;CARMO DO PARANAIBA;ALCOOL EM GEL 5L;120;LT;15,98;1917,6
7;PREFEITURADECONCEICAODASALAGOAS;2020-05-22;CONCEIÇAO DAS ALAGOAS;ALCOOL EM GEL 5L;120;LT;15,98;1917,6
8;PREFEITURADECONGONHAS;2020-05-22;CONGONHAS;ALCOOL EM GEL 5L;120;LT;15,98;1917,6
9;PREFEITURADEFRANCISCOSA;2020-05-22;FRANCISCO SA;ALCOOL EM GEL 5L;120;LT;15,98;1917,6
10;PREFEITURADEITABIRA;2020-05-22;ITABIRA;ALCOOL EM GEL 5L;120;LT;15,98;1917,6
11;PREFEITURADELAGOADAPRATA;2020-05-22;LAGOA DA PRATA;ALCOOL EM GEL 5L;120;LT;15,98;1917,6
12;PREFEITURADELAVRAS;2020-05-22;LAVRAS;ALCOOL EM GEL 5L;120;LT;15,98;1917,6
13;SECRETARIAMUNDESAÚDEDEGOVVALADARES;2020-05-22;GOVERNADOR VALADARES;ALCOOL EM GEL 5L;260;LT;15,98;4154,8
14;SECRETARIAMUNSAÚDEDEJUIZDEFORA;2020-05-22;JUIZ DE FORA;ALCOOL EM GEL 5L;500;LT;15,98;7990
15;SECRETARIAMUNSAUDEDEUBERLANDIA;2020-05-22;UBERLANDIA;ALCOOL EM GEL 5L;260;LT;15,98;4154,8
16;UPAABAETE;2020-05-22;ABAETÉ;ALCOOL EM GEL 5L;120;LT;15,98;1917,6
17;UPAARAGUARI;2020-05-22;ARAGUARI;ALCOOL EM GEL 5L;120;LT;15,98;1917,6
18;UPAFORMIGA;2020-05-22;FORMIGA;ALCOOL EM GEL 5L;120;LT;15,98;1917,6
19;AISI-ASSOCIAÇÃODEINTEGRAÇÃOSOCIALD;2020-05-23;ITAJUBÁ;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;4;UN;15,37;61,48
20;ASILODECARIDADESANTACASADEBOMSUCE;2020-05-23;BOM SUCESSO;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;2;UN;15,37;30,74
21;ASSOCIAÇÃODECARIDADEHOSPITALSÃOSEBA;2020-05-23;SABINÓPOLIS;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;2;UN;15,37;30,74
22;ASSOCIAÇÃODEPROTEÇÃOAMATERNIDADEEA;2020-05-23;FELISBURGO;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;2;UN;15,37;30,74
23;ASSOCIAÇÃOHOSPITALARHÉLCIOVALEMTIMDE;2020-05-23;CONSELHEIRO PENA;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;4;UN;15,37;61,48
24;ASSOCIAÇÃOHOSPITALARSÃOVICENTEDEPAU;2020-05-23;IPANEMA;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;2;UN;15,37;30,74
25;CASADECARIDADEDECARANGOLA;2020-05-23;CARANGOLA;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;4;UN;15,37;61,48
26;CASADECARIDADEDEOUROFINO;2020-05-23;OURO FINO;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;4;UN;15,37;61,48
27;CASADECARIDADELEOPOLDINENSE;2020-05-23;LEOPOLDINA;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;2;UN;15,37;30,74
28;CASADECARIDADESANTATEREZA;2020-05-23;SERRO;DESINFETANTE HOSPITALAR ALC CLORADO ULTR;2;UN;15,37;30,74
